"filename", "language", "C", "Log", "comment", "blank", "total"
"d:\Borland C++\DISK_C\cks\path\ROBOT1.LOG", "Log", 0, -1282, 0, 0, -1282
"d:\Borland C++\DISK_C\cks\path\ROBOT2.LOG", "Log", 0, -2119, 0, -1, -2120
"d:\Borland C++\DISK_C\cks\src\auto_in.c", "C", 0, 0, 0, -1, -1
"d:\Borland C++\DISK_C\cks\src\motplan.c", "C", -1, 0, 0, 0, -1
"Total", "-", -1, -3401, 0, -2, -3404
