"filename", "language", "C", "Log", "C++", "comment", "blank", "total"
"d:\Borland C++\DISK_C\cks\include\draw.h", "C++", 0, 0, 1, 1, 1, 3
"d:\Borland C++\DISK_C\cks\include\mock.h", "C++", 0, 0, 1, 1, 1, 3
"d:\Borland C++\DISK_C\cks\path\ROBOT1.LOG", "Log", 0, -899, 0, 0, 0, -899
"d:\Borland C++\DISK_C\cks\path\ROBOT2.LOG", "Log", 0, -899, 0, 0, 0, -899
"d:\Borland C++\DISK_C\cks\path\ROBOT3.LOG", "Log", 0, -899, 0, 0, 0, -899
"d:\Borland C++\DISK_C\cks\src\auto_in.c", "C", 13, 0, 0, -1, 0, 12
"d:\Borland C++\DISK_C\cks\src\auto_out.c", "C", 13, 0, 0, -1, 0, 12
"d:\Borland C++\DISK_C\cks\src\draw.c", "C", 36, 0, 0, 0, 10, 46
"d:\Borland C++\DISK_C\cks\src\energy.c", "C", 50, 0, 0, 0, 1, 51
"d:\Borland C++\DISK_C\cks\src\item.c", "C", 65, 0, 0, 0, 1, 66
"d:\Borland C++\DISK_C\cks\src\main_menu.c", "C", -32, 0, 0, 0, -8, -40
"d:\Borland C++\DISK_C\cks\src\mock.c", "C", 107, 0, 0, 0, 6, 113
"d:\Borland C++\DISK_C\cks\src\robonum.c", "C", 78, 0, 0, 0, 2, 80
"Total", "-", 330, -2697, 2, 0, 14, -2351
