"filename", "language", "C", "Log", "comment", "blank", "total"
"d:\Borland C++\DISK_C\cks\path\ROBOT1.LOG", "Log", 0, 1648, 0, 0, 1648
"d:\Borland C++\DISK_C\cks\src\auto_in.c", "C", 6, 0, 0, 2, 8
"d:\Borland C++\DISK_C\cks\src\mock.c", "C", 5, 0, 0, 1, 6
"Total", "-", 11, 1648, 0, 3, 1662
