"filename", "language", "C", "Log", "C++", "comment", "blank", "total"
"d:\Borland C++\DISK_C\cks\include\mock.h", "C++", 0, 0, 1, 1, 1, 3
"d:\Borland C++\DISK_C\cks\path\ROBOT1.LOG", "Log", 0, 3881, 0, 0, 0, 3881
"d:\Borland C++\DISK_C\cks\path\ROBOT2.LOG", "Log", 0, 5593, 0, 0, 1, 5594
"d:\Borland C++\DISK_C\cks\path\ROBOT3.LOG", "Log", 0, 5593, 0, 0, 1, 5594
"d:\Borland C++\DISK_C\cks\src\auto_in.c", "C", 17, 0, 0, -1, -1, 15
"d:\Borland C++\DISK_C\cks\src\auto_out.c", "C", 30, 0, 0, -1, 1, 30
"d:\Borland C++\DISK_C\cks\src\main_menu.c", "C", 8, 0, 0, 0, 0, 8
"d:\Borland C++\DISK_C\cks\src\mock.c", "C", 84, 0, 0, 0, 0, 84
"Total", "-", 139, 15067, 1, -1, 3, 15209
