"filename", "language", "Log", "C", "C++", "comment", "blank", "total"
"d:\Borland C++\DISK_C\cks\include\allfunc.h", "C", 0, 1, 0, 0, 0, 1
"d:\Borland C++\DISK_C\cks\include\draw.h", "C++", 0, 0, 1, 1, 1, 3
"d:\Borland C++\DISK_C\cks\include\energy.h", "C++", 0, 0, 1, 1, 1, 3
"d:\Borland C++\DISK_C\cks\include\main_menu.h", "C++", 0, 0, -1, -1, -1, -3
"d:\Borland C++\DISK_C\cks\include\mock.h", "C++", 0, 0, 1, 1, 1, 3
"d:\Borland C++\DISK_C\cks\include\report.h", "C++", 0, 0, 7, 4, 5, 16
"d:\Borland C++\DISK_C\cks\path\ROBOT1.LOG", "Log", 2371, 0, 0, 0, 0, 2371
"d:\Borland C++\DISK_C\cks\path\ROBOT2.LOG", "Log", 2371, 0, 0, 0, 0, 2371
"d:\Borland C++\DISK_C\cks\src\draw.c", "C", 0, 5, 0, 0, 1, 6
"d:\Borland C++\DISK_C\cks\src\energy.c", "C", 0, 63, 0, 0, 15, 78
"d:\Borland C++\DISK_C\cks\src\main.c", "C", 0, 4, 0, 0, 1, 5
"d:\Borland C++\DISK_C\cks\src\main_menu.c", "C", 0, -29, 0, 0, 0, -29
"d:\Borland C++\DISK_C\cks\src\mock.c", "C", 0, 18, 0, 0, 1, 19
"d:\Borland C++\DISK_C\cks\src\report.c", "C", 0, 81, 0, 0, 9, 90
"d:\Borland C++\DISK_C\cks\src\show_mock.c", "C", 0, 2, 0, 0, 0, 2
"d:\Borland C++\DISK_C\cks\src\welcome.c", "C", 0, 5, 0, 0, 0, 5
"Total", "-", 4742, 150, 9, 6, 34, 4941
