"filename", "language", "Log", "C", "JSON with Comments", "Makefile", "Markdown", "C++", "comment", "blank", "total"
"d:\Borland C++\DISK_C\cks\src\login.c", "C", 0, 368, 0, 0, 0, 0, 2, 27, 397
"d:\Borland C++\DISK_C\cks\src\main.c", "C", 0, 54, 0, 0, 0, 0, 0, 23, 77
"d:\Borland C++\DISK_C\cks\src\main_menu.c", "C", 0, 163, 0, 0, 0, 0, 0, 12, 175
"d:\Borland C++\DISK_C\cks\src\map.c", "C", 0, 90, 0, 0, 0, 0, 25, 17, 132
"d:\Borland C++\DISK_C\cks\src\mappv.c", "C", 0, 111, 0, 0, 0, 0, 0, 8, 119
"d:\Borland C++\DISK_C\cks\src\mock.c", "C", 0, 274, 0, 0, 0, 0, 0, 36, 310
"d:\Borland C++\DISK_C\cks\src\mock_hand.c", "C", 0, 447, 0, 0, 0, 0, 5, 42, 494
"d:\Borland C++\DISK_C\cks\src\motplan.c", "C", 0, 478, 0, 0, 0, 0, 63, 66, 607
"d:\Borland C++\DISK_C\cks\src\mouse.c", "C", 0, 276, 0, 0, 0, 0, 47, 32, 355
"d:\Borland C++\DISK_C\cks\src\move.c", "C", 0, 29, 0, 0, 0, 0, 0, 4, 33
"d:\Borland C++\DISK_C\cks\src\report.c", "C", 0, 81, 0, 0, 0, 0, 0, 9, 90
"d:\Borland C++\DISK_C\cks\src\robolist.c", "C", 0, 185, 0, 0, 0, 0, 10, 30, 225
"d:\Borland C++\DISK_C\cks\src\robonum.c", "C", 0, 187, 0, 0, 0, 0, 0, 12, 199
"d:\Borland C++\DISK_C\cks\src\shelf.c", "C", 0, 79, 0, 0, 0, 0, 7, 17, 103
"d:\Borland C++\DISK_C\cks\src\show_mock.c", "C", 0, 482, 0, 0, 0, 0, 0, 33, 515
"d:\Borland C++\DISK_C\cks\src\welcome.c", "C", 0, 60, 0, 0, 0, 0, 0, 8, 68
"Total", "-", 5180, 8325, 22, 48, 2, 417, 1157, 1424, 16575
